"index_label","index","variable","label","exclude"
"Polyarchy","v2x_polyarchy","v2mecenefm","Government censorship effort - Media",0
"Polyarchy","v2x_polyarchy","v2meharjrn","Harassment of journalists",0
"Polyarchy","v2x_polyarchy","v2meslfcen","Media self-censorship",0
"Polyarchy","v2x_polyarchy","v2mebias","Media bias",0
"Polyarchy","v2x_polyarchy","v2mecrit","Print/broadcast media critical",0
"Polyarchy","v2x_polyarchy","v2merange","Print/broadcast media perspectives",0
"Polyarchy","v2x_polyarchy","v2cldiscm","Freedom of discussion for men",0
"Polyarchy","v2x_polyarchy","v2cldiscw","Freedom of discussion for women",0
"Polyarchy","v2x_polyarchy","v2clacfree","Freedom of academic and cultural expression",0
"Polyarchy","v2x_polyarchy","v2psparban","Party ban",0
"Polyarchy","v2x_polyarchy","v2psbars","Barriers to parties",0
"Polyarchy","v2x_polyarchy","v2psoppaut","Opposition parties autonomy",0
"Polyarchy","v2x_polyarchy","v2elmulpar","Elections multiparty",0
"Polyarchy","v2x_polyarchy","v2cseeorgs","CSO entry and exit",0
"Polyarchy","v2x_polyarchy","v2csreprss","CSO repression",0
"Polyarchy","v2x_polyarchy","v2elsuffrage","Percent of population with suffrage",1
"Polyarchy","v2x_polyarchy","v2elembaut","EMB autonomy",0
"Polyarchy","v2x_polyarchy","v2elembcap","EMB capacity",0
"Polyarchy","v2x_polyarchy","v2elrgstry","Election voter registry",0
"Polyarchy","v2x_polyarchy","v2elvotbuy","Election vote buying",0
"Polyarchy","v2x_polyarchy","v2elirreg","Election other voting irregularities",0
"Polyarchy","v2x_polyarchy","v2elintim","Election government intimidation",0
"Polyarchy","v2x_polyarchy","v2elpeace","Election other electoral violence",0
"Polyarchy","v2x_polyarchy","v2elfrfair","Election free and fair",0
"Polyarchy","v2x_polyarchy","v2lgbicam","Legislature bicameral",1
"Polyarchy","v2x_polyarchy","v2lgello","Lower chamber elected",1
"Polyarchy","v2x_polyarchy","v2lgelecup","Upper chamber elected",1
"Polyarchy","v2x_polyarchy","v2lgdomchm","Legislature dominant chamber",1
"Polyarchy","v2x_polyarchy","v2exaphos","HOS selection by legislature in practice",1
"Polyarchy","v2x_polyarchy","v2expathhs","HOS appointment in practice",1
